deactivatecard_id,card_name,issuer,country,network,card_type,card_family,link,annual_fee,annual_fee_full,additional_card_fee,purchase_interest_rate,cash_interest_rate,income_requirement,welcome_bonus_summary,best_for,one_liner
cibc_aventura_visa_infinite_ca,CIBC Aventura® Visa Infinite Card,CIBC,Canada,Visa,Credit Card,aventura,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-visa-infinite-card.html,139,$139 —,$50,,,"$60,000 individual, or $100,000 household minimum annual income","Join and earn up to $1,400 in value","travel,air_travel,groceries,gas,drugstores,airport_benefits",Travel rewards credit card designed for flexible Aventura points and travel perks.
cibc_aeroplan_visa_infinite_ca,CIBC Aeroplan® Visa Infinite Card,CIBC,Canada,Visa,Credit Card,aeroplan,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aeroplan-visa-infinite-card.html,139,$139,$50,,,"$60,000 individual, or $100,000 household minimum annual income","Apply and earn up to $1,200 in value, which includes up to 45,000 Aeroplan points.","travel,air_travel,groceries,gas",Travel rewards credit card focused on Aeroplan points and Air Canada-related benefits.
cibc_aeroplan_visa_infinite_privilege_ca,CIBC Aeroplan® Visa Infinite Privilege Card,CIBC,Canada,Visa,Credit Card,aeroplan,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aeroplan-visa-infinite-privilege-card.html,599,$599,$149,,,"$150,000 individual, or $200,000 household minimum annual income","Apply and earn up to $3,200 in value, which includes up to 100,000 Aeroplan points!","travel,air_travel,groceries,gas,airport_benefits",Travel rewards credit card focused on Aeroplan points and Air Canada-related benefits.
cibc_aventura_gold_visa_ca,Aventura Gold Visa Card,CIBC,Canada,Visa,Credit Card,aventura,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-gold-visa-card.html,139,$139 —,$50,,,,,"travel,air_travel,groceries,gas,drugstores,airport_benefits",Travel rewards credit card designed for flexible Aventura points and travel perks.
cibc_aventura_visa_ca,CIBC Aventura® Visa Infinite Privilege Card,CIBC,Canada,Visa,Credit Card,aventura,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-visa-card.html,0,$0,,,,,Travel rewards cards,"travel,air_travel,groceries,gas,drugstores",Travel rewards credit card designed for flexible Aventura points and travel perks.
cibc_aventura_visa_infinite_privilege_ca,CIBC Aventura® Visa Infinite Privilege Card,CIBC,Canada,Visa,Credit Card,aventura,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-visa-infinite-privilege-card.html,499,$499,$99,,,"$150,000 individual, or $200,000 household minimum annual income","Join and earn up to $2,450 in value.","travel,air_travel,groceries,gas,airport_benefits",Travel rewards credit card designed for flexible Aventura points and travel perks.
cibc_aaeroplan_visa_ca,CIBC Aeroplan® Visa Card,CIBC,Canada,Visa,Credit Card,aeroplan,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aeroplan-visa-card.html,0,$0,,,,,"Apply and earn up to $200 in value, which includes up to 10,000 Aeroplan points!","travel,air_travel,groceries,gas,airport_benefits",Travel rewards credit card focused on Aeroplan points and Air Canada-related benefits.
cibc_adapta_mastercard_ca,CIBC Aeroplan® Visa Card,CIBC,Canada,Visa,Credit Card,aeroplan,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/adapta-mastercard.html,0,$0,$0,,,,Join and earn up to $150 in value,"travel,air_travel,groceries,gas,drugstores",Travel rewards credit card focused on Aeroplan points and Air Canada-related benefits.
cibc_dividend_visa_infinite_ca,CIBC Dividend® Visa Infinite Card,CIBC,Canada,Visa,Credit Card,generic,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/dividend-visa-infinite-card.html,120,$120 —,$30,,,"$60,000 individual, or $100,000 household minimum annual income",Join and earn up to $450 in value,"air_travel,groceries,gas","CIBC credit card with rewards, benefits, and cardholder perks."
cibc_dividend_visa_platinum_ca,CIBC Dividend Platinum® Visa Card,CIBC,Canada,Visa,Credit Card,generic,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/dividend-visa-platinum-card.html,99,$99 —,$30,,,,Join and earn up to $400 in value,"air_travel,groceries,gas","CIBC credit card with rewards, benefits, and cardholder perks."
cibc_dividend_visa_ca,CIBC Dividend® Visa Card,CIBC,Canada,Visa,Credit Card,generic,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/dividend-visa-card.html,0,$0,,,,,,"air_travel,groceries,gas","CIBC credit card with rewards, benefits, and cardholder perks."
cibc_costco_mastercard_ca,Costco Mastercard,CIBC,Canada,Mastercard,Credit Card,generic,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/costco-mastercard.html,,,,,,,,,"CIBC credit card with rewards, benefits, and cardholder perks."
cibc_adapta_mastercard_students_ca,Adapta Mastercard For Students,CIBC,Canada,Mastercard,Credit Card,generic,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/adapta-mastercard-for-students.html,,,,,,,,air_travel,"CIBC credit card with rewards, benefits, and cardholder perks."
cibc_dividend_visa_students_ca,Dividend Visa For Students,CIBC,Canada,Visa,Credit Card,generic,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/dividend-visa-for-students.html,0,$0,,,,,Join and earn up to $125 cash back,"air_travel,groceries,gas","CIBC credit card with rewards, benefits, and cardholder perks."
cibc_aventura_visa_students_ca,Aventura Visa For Students,CIBC,Canada,Visa,Credit Card,aventura,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-visa-for-students.html,0,$0,,,,No minimum annual income requirement,"Earn up to 12,500 Aventura Points","travel,air_travel,groceries,gas,drugstores",Travel rewards credit card designed for flexible Aventura points and travel perks.
cibc_aeroplan_visa_students_ca,Aeroplan Visa For Students,CIBC,Canada,Visa,Credit Card,aeroplan,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aeroplan-visa-for-students.html,0,$0,,,,,"Apply and earn up to $200 in value, which includes up to 10,000 Aeroplan points!","travel,air_travel,groceries,gas,airport_benefits",Travel rewards credit card focused on Aeroplan points and Air Canada-related benefits.
cibc_usdollar_aventura_gold_visa_ca,CIBC U.S. Dollar Aventura Gold Visa Card,CIBC,Canada,Visa,Credit Card,aventura,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/us-dollar-aventura-gold-visa-card.html,35,$35 US,$0,,,,,"travel,air_travel,gas",Travel rewards credit card designed for flexible Aventura points and travel perks.
cibc_select-visa_ca,CIBC Select Visa Card,CIBC,Canada,Visa,Credit Card,generic,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/select-visa-card.html,29,$29 —,$0,,,,,gas,"CIBC credit card with rewards, benefits, and cardholder perks."
cibc_aventura_visa_business_ca,CIBC bizline® Visa Card,CIBC,Canada,Visa,Credit Card,aventura,https://www.cibc.com/en/business/credit-cards/aventura-visa.html,120,$120,$50,,,"$35,000 individual minimum annual income.",,"travel,air_travel,gas,airport_benefits",Travel rewards credit card designed for flexible Aventura points and travel perks.
cibc_aeroplan_visa_business_ca,CIBC Aeroplan® Visa Business Card,CIBC,Canada,Visa,Credit Card,aeroplan,https://www.cibc.com/en/business/credit-cards/aeroplan-visa-business.html,180,$180 –,$50,,,"$35,000 individual minimum annual income.",,"travel,air_travel,gas,airport_benefits",Travel rewards credit card focused on Aeroplan points and Air Canada-related benefits.
cibc_costco_mastercard_business_ca,Costco Mastercard Business,CIBC,Canada,Mastercard,Credit Card,generic,https://www.cibc.com/en/business/credit-cards/costco-mastercard-business.html,0,$0,,,,"$15,000 individual minimum annual income.",,"air_travel,gas","CIBC credit card with rewards, benefits, and cardholder perks."
cibc_aventura_plus_visa_ca,CIBC bizline® Visa Card,CIBC,Canada,Visa,Credit Card,aventura,https://www.cibc.com/en/business/credit-cards/aventura-plus-visa.html,,ⓘ,$120,,,,,"travel,air_travel,gas",Travel rewards credit card designed for flexible Aventura points and travel perks.
cibc_aeroplan_visa_business_plus_ca,CIBC bizline® Visa Card,CIBC,Canada,Visa,Credit Card,aeroplan,https://www.cibc.com/en/business/credit-cards/aeroplan-visa-business-plus.html,120,$120 —,$50,,,,,"travel,air_travel,airport_benefits",Travel rewards credit card focused on Aeroplan points and Air Canada-related benefits.
cibc_bizline_visa_ca,CIBC bizline® Visa Card,CIBC,Canada,Visa,Credit Card,generic,https://www.cibc.com/en/business/credit-cards/bizline-visa.html,0,$0,,,,"$15,000 individual minimum annual income.",,"air_travel,gas","CIBC credit card with rewards, benefits, and cardholder perks."
cibc_corporate_classic_plus_visa_ca,CIBC bizline® Visa Card,CIBC,Canada,Visa,Credit Card,generic,https://www.cibc.com/en/business/credit-cards/corporate-classic-plus-visa.html,,ⓘ,$20,,,,,air_travel,"CIBC credit card with rewards, benefits, and cardholder perks."
